Annee,Mois,Comptage_horaire
2021,1,42.559120356088314
2021,4,57.100784050179215
2021,5,58.09480547242411
2021,6,77.53026405470176
2021,7,64.10200532463071
2021,8,51.76956502558673
2021,9,89.8735748610195
2021,10,77.90131398223606
2021,11,66.88105674962293
2021,12,51.42241162050084
2022,1,55.129058519298916
2022,2,66.12776812553432
2022,3,74.69026793344392
2022,4,73.72566019726376
2022,5,83.75761744966442
2022,6,93.09713993435915
2022,7,80.71863498159705
2022,8,62.02620592733435
2022,9,92.80630690064652
2022,10,89.14103183315038
2022,11,82.36307737714596
2022,12,52.76300883256528
2023,1,67.70913558186285
2023,2,63.03041930243009
2023,3,64.24120445724301
2023,4,63.25044466617501
2023,5,65.59528563505269
2023,6,83.50106449592987
2023,7,54.86079620353282
2023,8,36.94257765830346
2023,9,62.535185185185185
2023,10,56.205794504181604
2023,11,46.79074074074074
2023,12,37.79247140801333
2024,1,39.91903858317521
