Tranche_horaire,Heure,Comptage_horaire
1-Créneau 6h - 10h,6,11.351083696451814
1-Créneau 6h - 10h,7,34.51284663271081
1-Créneau 6h - 10h,8,104.1096208262592
1-Créneau 6h - 10h,9,107.08788410389904
1-Créneau 6h - 10h,10,59.14004413512137
2-Créneau 11h - 15h,11,58.87041647804436
2-Créneau 11h - 15h,12,73.90243902439025
2-Créneau 11h - 15h,13,71.13892032593934
2-Créneau 11h - 15h,14,70.5082366260968
2-Créneau 11h - 15h,15,74.2721920289855
3-Créneau 16h - 20h,16,83.14346373775689
3-Créneau 16h - 20h,17,106.79275403339938
3-Créneau 16h - 20h,18,141.50648247749533
3-Créneau 16h - 20h,19,127.98341446847051
3-Créneau 16h - 20h,20,79.0315825220738
4-Créneau 21h - 23h,21,48.21290687800736
4-Créneau 21h - 23h,22,38.64270349824522
4-Créneau 21h - 23h,23,33.124370223606
5-Créneau minuit - 5h (nuit),0,22.972131147540985
5-Créneau minuit - 5h (nuit),1,13.466417910447761
5-Créneau minuit - 5h (nuit),2,9.723541383989145
5-Créneau minuit - 5h (nuit),3,5.583578375933047
5-Créneau minuit - 5h (nuit),4,4.393051154368493
5-Créneau minuit - 5h (nuit),5,5.7388794567062815
